"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
8,70,70,902,7944,7,78,460,229,16,6032,0.2051,3664,46,13487.03,0.5897,9,0,377,248.501,7455.03,30,0.483870967741935
8,70,70,902,7989,6,13,460,229,2,920,0.1538,458,13,3096,1,5,0,460,197.818181818182,2176,11,1
8,140,140,120,47732,5,142,195,71.25,31,5493,0.2183,2208.75,133,13300.98,0.9366,35,0,177.193548387097,76.5488235294118,7807.98,102,0.918918918918919
8,140,140,120,47739,10,102,195,71.25,24,4177,0.2353,1710,93,9080,0.9118,25,0,174.041666666667,71.0579710144928,4903,69,0.884615384615385
8,140,140,120,47741,10,102,125,45,27,3028.01,0.2647,1215,97,6203.05,0.951,30,0,112.148518518519,45.3577142857143,3175.04,70,0.933333333333333
8,140,140,120,47742,6,137,125,45,14,1634.99,0.1022,630,129,6760.01,0.9416,32,0,116.785,44.5653913043478,5125.02,115,0.934959349593496
8,140,140,120,47743,6,12,175,63.75,5,860,0.4167,318.75,12,1381,1,3,0,172,74.4285714285714,521,7,1
8,140,140,120,47746,10,40,150,54.38,22,3096,0.55,1196.36,40,3997,1,9,0,140.727272727273,50.0555555555556,901,18,1
8,140,140,120,47747,9,24,175,63.75,1,175,0.0417,63.75,22,1546,0.9167,5,0,175,65.2857142857143,1371,21,0.91304347826087
8,140,140,120,47748,11,102,175,63.75,20,3204,0.1961,1275,87,6620.99,0.8529,22,0,160.2,50.9998507462687,3416.99,67,0.817073170731707
8,140,140,120,47751,10,112,175,63.75,31,5021.01,0.2768,1976.25,93,8294.96,0.8304,29,0,161.968064516129,52.8056451612903,3273.95,62,0.765432098765432
8,140,140,120,47753,12,80,225,85.5,28,4808,0.35,2394,64,6910.01,0.8,21,0,171.714285714286,58.3891666666667,2102.01,36,0.692307692307692
8,140,140,120,47757,12,139,150,54.38,27,3039.97,0.1942,1468.26,105,6332.06,0.7554,36,0,112.591481481481,42.2062820512821,3292.09,78,0.696428571428571
8,140,140,120,47760,5,71,595,221.25,22,11117,0.3099,4867.5,62,16844.98,0.8732,38,0,505.318181818182,143.1995,5727.98,40,0.816326530612245
8,140,140,120,47761,12,22,125,45,4,500,0.1818,180,19,1289,0.8636,8,0,125,52.6,789,15,0.833333333333333
8,140,140,120,47767,14,102,195,71.25,10,1950,0.098,712.5,57,5092.01,0.5588,23,0,195,66.8512765957447,3142.01,47,0.510869565217391
8,140,140,120,47770,10,134,325,120,23,6708.01,0.1716,2760,125,16768.03,0.9328,34,0,291.652608695652,98.6276470588235,10060.02,102,0.918918918918919
8,140,140,120,47771,7,135,325,120,17,4332.05,0.1259,2040,111,15175.03,0.8222,38,0,254.826470588235,115.35085106383,10842.98,94,0.796610169491525
8,140,140,120,47772,5,142,325,120,31,9074.98,0.2183,3720,116,19552.94,0.8169,42,0,292.741290322581,123.270117647059,10477.96,85,0.765765765765766
8,140,140,120,47773,6,137,295,108.75,25,6158.99,0.1825,2718.75,103,14326.98,0.7518,43,0,246.3596,104.717820512821,8167.99,78,0.696428571428571
8,140,140,120,47775,11,112,425,157.5,11,4335,0.0982,1732.5,76,11892.01,0.6786,23,0,394.090909090909,116.261692307692,7557.01,65,0.643564356435644
8,140,140,120,47776,10,135,325,120,52,15931,0.3852,6240,119,21827,0.8815,33,0,306.365384615385,88,5896,67,0.807228915662651
8,140,140,120,47782,13,136,350,129.38,10,3493.01,0.0735,1293.8,72,10451.01,0.5294,29,0,349.301,112.225806451613,6958,62,0.492063492063492
8,140,140,120,47791,6,16,250,91.88,6,1332,0.375,551.28,15,2016,0.9375,8,0,222,76,684,9,0.9
8,140,140,403,4830,6,150,375,185,30,9944.01,0.2,5550,133,23398.98,0.8867,42,0,331.467,130.630776699029,13454.97,103,0.858333333333333
8,140,140,403,4990,6,14,375,185,9,3295,0.6429,1665,14,4664,1,0,0,366.111111111111,273.8,1369,5,1
8,140,140,403,5280,6,183,225,110,55,10871.99,0.3005,6050,163,21451.99,0.8907,39,0,197.672545454545,97.962962962963,10580,108,0.84375
8,140,140,403,5281,7,16,225,110,4,829,0.25,440,15,2035,0.9375,6,0,207.25,109.636363636364,1206,11,0.916666666666667
8,140,140,403,5380,6,14,195,95,4,711,0.2857,380,14,1865,1,4,0,177.75,115.4,1154,10,1
8,140,140,403,5450,6,193,315,155,37,10115.97,0.1917,5735,148,21831.01,0.7668,71,0,273.404594594595,105.540900900901,11715.04,111,0.711538461538462
8,140,140,403,5480,6,31,225,110,18,3658,0.5806,1980,28,4339,0.9032,9,0,203.222222222222,68.1,681,10,0.769230769230769
8,140,140,403,6300,9,31,265,130,7,1650,0.2258,910,30,5024,0.9677,6,0,235.714285714286,146.695652173913,3374,23,0.958333333333333
8,140,140,403,6881,9,162,85,40,38,2884.97,0.2346,1520,151,8461.04,0.9321,43,0,75.9202631578947,49.3457522123894,5576.07,113,0.911290322580645
8,140,140,403,6883,9,60,85,40,25,1869,0.4167,1000,58,3332.99,0.9667,16,0,74.76,44.3633333333333,1463.99,33,0.942857142857143
8,140,140,431,169,11,76,74,32.3,23,1520.99,0.3026,742.9,70,2888,0.9211,24,0,66.13,29.0853191489362,1367.01,47,0.886792452830189
8,140,140,431,3864,9,32,90,38,19,1499.01,0.5938,722,33,2090.01,1.0313,8,0,78.8952631578947,42.2142857142857,591,14,1.07692307692308
8,140,140,431,17081,9,98,56,22.8,30,1486.99,0.3061,684,92,3728,0.9388,24,0,49.5663333333333,36.1453225806452,2241.01,62,0.911764705882353
8,140,140,431,17083,12,61,56,22.8,20,1053,0.3279,456,57,2506,0.9344,15,0,52.65,39.2702702702703,1453,37,0.902439024390244
8,140,140,431,17084,13,58,56,22.8,26,1316.99,0.4483,592.8,52,2386,0.8966,12,0,50.6534615384615,41.1157692307692,1069.01,26,0.8125
